"file_name","nodc_sd2","year","description","ship_name","ship_shorthand","ship_code","basin_name","sub_basin_name"
"natl.1967.HU.65N_66N.joa","A1967HUJ.TXT",1967,"A section of 12 stations from 65.35 degrees North to 66.005 degrees North, 28.993 degrees West to 26.603 degrees West. All have temperature, salinity, oxygen, silicate. None have phosphate, nitrate. There are at least 9 full depth casts. ","Hudson","HU","18HU","Atlantic","North-Eastern"
"natl.1967.HU.65W.joa","A1967HUK.TXT",1967,"A section of 4 stations from 49.491 degrees North to 50.063 degrees North, along 65W. All have temperature, salinity. None have oxygen, phosphate, silicate, nitrate. ","Hudson","HU","18HU","Atlantic","North-Western"
"natl.1967.HU.66N.joa","A1967HUL.TXT",1967,"A section of 11 stations along 66N, 27.541 degrees West to 25.446 degrees West. All have temperature, salinity, oxygen, silicate. None have phosphate, nitrate. There are at least 8 full depth casts. ","Hudson","HU","18HU","Atlantic","North-Eastern"
"natl.1967.HU.66N_67N.joa","A1967HUM.TXT",1967,"A section of 9 stations from 66.41 degrees North to 67.125 degrees North, 27.166 degrees West to 25.025 degrees West. All have temperature, salinity, oxygen, silicate. None have phosphate, nitrate. All stations have full depth casts. ","Hudson","HU","18HU","Atlantic","North-Eastern"
"natl.1967.LY.16N.joa","A1967LYA.TXT",1967,"A section of 4 stations along 16N, 66.383 degrees West to 65 degrees West. All have temperature, salinity. None have oxygen, phosphate, silicate, nitrate. There are at least 3 full depth casts. ","Lynch","LY","31LY","Atlantic","Southern"
"natl.1967.LY.17N.joa","A1967LYB.TXT",1967,"A section of 4 stations along 17N, 66.5 degrees West to 65 degrees West. All have temperature, salinity. None have oxygen, phosphate, silicate, nitrate. There are at least 3 full depth casts. ","Lynch","LY","31LY","Atlantic","Southern"
"natl.1967.LY.17N_2.joa","A1967LYC.TXT",1967,"A section of 4 stations from 17 degrees North to 17 degrees North, 66.5 degrees West to 65 degrees West. All have temperature, salinity. None have oxygen, phosphate, silicate, nitrate. All stations have full depth casts. ","Lynch","LY","31LY","Atlantic","Southern"
"natl.1967.LY.52W_49W.joa","A1967LYD.TXT",1967,"A section of 5 stations from 5.966 degrees North to 8.816 degrees North, 52.6 degrees West to 49.85 degrees West. All have temperature, salinity. Most have oxygen, phosphate, silicate. None have nitrate. There are at least 4 full depth casts. ","Lynch","LY","31LY","Atlantic","Southern"
"natl.1967.LY.55W_53W.joa","A1967LYE.TXT",1967,"A section of 6 stations from 6.333 degrees North to 9.566 degrees North, 55.25 degrees West to 53.716 degrees West. All have temperature, salinity. Some have oxygen, phosphate, silicate. None have nitrate. There are at least 5 full depth casts. ","Lynch","LY","31LY","Atlantic","Southern"
"natl.1967.LY.56W.joa","A1967LYF.TXT",1967,"A section of 12 stations from 7 degrees North to 17 degrees North, along 56W. All have temperature, salinity. Most have oxygen, phosphate, silicate. None have nitrate. There are at least 9 full depth casts. ","Lynch","LY","31LY","Atlantic","Southern"
"natl.1967.LY.56W_52W.joa","A1967LYG.TXT",1967,"A section of 6 stations from 5.966 degrees North to 11 degrees North, 56.316 degrees West to 52.6 degrees West. All have temperature, salinity. Some have oxygen, phosphate, silicate. None have nitrate. There are at least 4 full depth casts. ","Lynch","LY","31LY","Atlantic","Southern"
"natl.1967.LY.9N.joa","A1967LYH.TXT",1967,"A section of 10 stations along 9N, 58.6 degrees West to 49.85 degrees West. All have temperature, salinity. Most have oxygen, phosphate, silicate. None have nitrate. There are at least 3 full depth casts. ","Lynch","LY","31LY","Atlantic","Southern"
"natl.1967.MT.11W_9W.joa","A1967MTA.TXT",1967,"A section of 9 stations from 33.15 degrees North to 37.033 degrees North, 11.083 degrees West to 9.15 degrees West. All have temperature, salinity. Most have oxygen. None have phosphate, silicate, nitrate. There are at least 6 full depth casts. ","Meteor Post-7/64","MT","06MT","Atlantic","South-Eastern"
